Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C7, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,0.1µF 25V+,
"C10, C11, C12, C3, C4, C5",CP_Radial_D13.0mm_P5.00mm,6,1000µF 25V+,
"C13, C2, C6, C9",C_Disc_D5.1mm_W3.2mm_P5.00mm,4,1µF 25V+,
"C15, C21",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,0.1µF 16V+,
"C16, C20",C_Disc_D5.1mm_W3.2mm_P5.00mm,2,1µF 16V+,
"C17, C18, C19",CP_Radial_D13.0mm_P5.00mm,3,1000µF 16V+,
J1,CUI_TB002-500-04BE,1,From Supply,
J2,CUI_TB002-500-04BE,1,To BusBoard,
J3,CUI_TB002-500-02BE,1,To Dummy_Load,
"L1, L2, L3",L_Radial_D12.0mm_P10.00mm_Neosid_SD12_style1,3,22µH 5A+,
