Designator,Mid X,Mid Y,Rotation,Layer
C1,82.980643,-83.282811,0.0,top
C10,104.969316,-107.913915,180.0,top
C11,104.924076,-152.723318,180.0,top
C12,104.924076,-170.474792,180.0,top
C13,104.924076,-183.446475,180.0,top
C14,104.924076,-190.940678,180.0,top
C15,126.983082,-83.258394,0.0,top
C16,126.983082,-90.808394,0.0,top
C17,126.983082,-107.918657,0.0,top
C18,126.937842,-152.735851,0.0,top
C19,126.937842,-170.487325,0.0,top
C2,82.980643,-90.782811,0.0,top
C20,126.937842,-183.446475,0.0,top
C21,126.937842,-190.940678,0.0,top
C3,82.980643,-107.888467,0.0,top
C4,82.935403,-152.713452,0.0,top
C5,82.935403,-170.464926,0.0,top
C6,82.935403,-183.420892,0.0,top
C7,82.935403,-190.915095,0.0,top
C8,104.969316,-83.308394,180.0,top
C9,104.969316,-90.808394,180.0,top
H1,67.531578,-67.486816,0.0,top
H2,142.531578,-67.351173,0.0,top
H3,67.531578,-212.486816,0.0,top
H4,142.531578,-212.351173,0.0,top
J1,104.940603,-70.819527,0.0,top
J2,104.963424,-210.157992,0.0,top
J3,121.959364,-210.146464,0.0,top
L1,82.629183,-130.268355,270.0,top
L2,104.74621,-130.328221,90.0,top
L3,126.967599,-130.328221,270.0,top
